  0.00000 -50.00000   0.00000   0.00000   0.60000
  0.01800 -48.79888   0.01596   0.00000   0.59991
  0.03601 -48.56613   0.01837   0.00000   0.59982
  0.05401 -48.47554   0.01883   0.00000   0.59973
  0.07201 -48.40551   0.01900   0.00000   0.59964
  0.09002 -48.33769   0.01914   0.00000   0.59955
  0.10802 -48.26941   0.01927   0.00000   0.59946
  0.12603 -48.20028   0.01940   0.00000   0.59937
  0.14403 -48.12997   0.01953   0.00000   0.59928
  0.16203 -48.05848   0.01967   0.00000   0.59919
  0.18004 -47.98557   0.01980   0.00000   0.59910
  0.19804 -47.91060   0.01995   0.00000   0.59901
  0.21604 -47.83370   0.02010   0.00000   0.59892
  0.23405 -47.75504   0.02025   0.00000   0.59883
  0.25205 -47.67464   0.02041   0.00000   0.59874
  0.27005 -47.59091   0.02058   0.00000   0.59865
  0.28806 -47.50450   0.02075   0.00000   0.59856
  0.30606 -47.41559   0.02093   0.00000   0.59847
  0.32406 -47.32416   0.02111   0.00000   0.59838
  0.34207 -47.22710   0.02131   0.00000   0.59829
  0.36007 -47.12624   0.02152   0.00000   0.59820
  0.37808 -47.02160   0.02174   0.00000   0.59811
  0.39608 -46.91278   0.02196   0.00000   0.59802
  0.41408 -46.79658   0.02221   0.00000   0.59793
  0.43209 -46.67475   0.02247   0.00000   0.59784
  0.45009 -46.54709   0.02274   0.00000   0.59775
  0.46809 -46.40823   0.02305   0.00000   0.59766
  0.48610 -46.26097   0.02337   0.00000   0.59757
  0.50410 -46.10533   0.02372   0.00000   0.59748
  0.52210 -45.93532   0.02410   0.00000   0.59740
  0.54011 -45.75284   0.02452   0.00000   0.59731
  0.55811 -45.55131   0.02499   0.00000   0.59722
  0.57612 -45.33133   0.02551   0.00000   0.59713
  0.59412 -45.08749   0.02610   0.00000   0.59704
  0.61212 -44.81641   0.02676   0.00000   0.59695
  0.63013 -44.50818   0.02753   0.00000   0.59686
  0.64813 -44.15360   0.02845   0.00001   0.59677
  0.66613 -43.74476   0.02953   0.00002   0.59668
  0.68414 -43.26206   0.03084   0.00003   0.59660
  0.70214 -42.67705   0.03249   0.00008   0.59652
  0.72014 -41.94497   0.03465   0.00027   0.59648
  0.73815 -40.98796   0.03764   0.00126   0.59650
  0.75615 -39.65509   0.04210   0.00740   0.59656
  0.77415 -37.60071   0.04968   0.02320   0.59662
  0.79216 -33.73079   0.06633   0.04060   0.59668
  0.81016 -22.87431   0.13770   0.05772   0.59674
  0.82817 -22.88103   0.24618   0.07454   0.59680
  0.84617 -33.64429   0.11502   0.09105   0.59686
  0.86417 -35.61154   0.07090   0.10727   0.59692
  0.88218 -32.21302   0.07767   0.12319   0.59698
  0.90018 -20.09928   0.17252   0.13884   0.59704
  0.91818 -25.18803   0.22144   0.15420   0.59710
  0.93619 -34.19730   0.10361   0.16929   0.59716
  0.95419 -35.03310   0.07125   0.18412   0.59723
  0.97219 -30.39771   0.08717   0.19867   0.59729
  0.99020 -17.75543   0.22514   0.21297   0.59735
  1.00820 -28.10985   0.18690   0.22701   0.59741
  1.02621 -34.99331   0.09011   0.24080   0.59747
  1.04421 -34.72249   0.07011   0.25435   0.59753
  1.06221 -29.00367   0.09488   0.26765   0.59759
  1.08022 -17.83557   0.25040   0.28072   0.59765
  1.09822 -29.72332   0.16645   0.29355   0.59771
  1.11622 -35.39083   0.08337   0.30616   0.59777
  1.13423 -34.60734   0.06944   0.31854   0.59783
  1.15223 -28.49504   0.09786   0.33070   0.59789
  1.17023 -18.14757   0.25472   0.34264   0.59795
  1.18824 -30.16537   0.16041   0.35437   0.59801
  1.20624 -35.50269   0.08159   0.36589   0.59807
  1.22424 -34.67369   0.06891   0.37720   0.59813
  1.24225 -28.76214   0.09628   0.38831   0.59819
  1.26025 -18.00323   0.25121   0.39922   0.59825
  1.27826 -29.91985   0.16378   0.40994   0.59831
  1.29626 -35.60276   0.08200   0.42047   0.59837
  1.31426 -35.13189   0.06709   0.43081   0.59843
  1.33227 -30.22588   0.08769   0.44096   0.59849
  1.35027 -17.94822   0.22444   0.45094   0.59855
  1.36827 -28.15271   0.18532   0.46073   0.59861
  1.38628 -35.21981   0.08909   0.47036   0.59867
  1.40428 -35.54025   0.06675   0.47980   0.59873
  1.42228 -31.75615   0.07973   0.48908   0.59879
  1.44029 -19.84863   0.17946   0.49820   0.59885
  1.45829 -25.54355   0.21542   0.50715   0.59891
  1.47630 -34.48816   0.10101   0.51595   0.59897
  1.49430 -35.91701   0.06756   0.52458   0.59903
  1.51230 -33.27795   0.07265   0.53306   0.59909
  1.53031 -24.09946   0.13065   0.54139   0.59915
  1.54831 -21.81648   0.24921   0.54957   0.59921
  1.56631 -32.96168   0.12333   0.55761   0.59927
  1.58432 -36.16225   0.07101   0.56550   0.59933
  1.60232 -34.80190   0.06658   0.57325   0.59939
  1.62032 -29.11290   0.09418   0.58086   0.59945
  1.63833 -18.05112   0.24260   0.58834   0.59951
  1.65633 -29.44154   0.16920   0.59569   0.59957
  1.67433 -35.70696   0.08308   0.60290   0.59963
  1.69234 -35.92611   0.06420   0.60998   0.59969
  1.71034 -32.71286   0.07481   0.61694   0.59976
  1.72835 -22.41635   0.14695   0.62377   0.59982
  1.74635 -23.25496   0.23735   0.63048   0.59988
  1.76435 -33.67490   0.11366   0.63708   0.59994
  1.78236 -36.35996   0.06829   0.64355   0.60000
  1.80036 -34.95828   0.06553   0.64990   0.60006
  1.81836 -29.60235   0.09135   0.65615   0.60012
  1.83637 -18.08252   0.23264   0.66228   0.60018
  1.85437 -28.76748   0.17699   0.66831   0.60024
  1.87237 -35.56339   0.08577   0.67423   0.60030
  1.89038 -36.16345   0.06384   0.68003   0.60036
  1.90838 -33.53324   0.07103   0.68574   0.60042
  1.92639 -25.11062   0.12247   0.69134   0.60047
  1.94439 -20.93215   0.25276   0.69685   0.60053
  1.96239 -32.43593   0.13036   0.70226   0.60059
  1.98040 -36.35697   0.07186   0.70757   0.60065
  1.99840 -35.73501   0.06303   0.71277   0.60071
  2.01640 -32.01936   0.07813   0.71790   0.60077
  2.03441 -20.87402   0.16605   0.72293   0.60083
  2.05241 -24.70028   0.22302   0.72788   0.60089
  2.07041 -34.35295   0.10493   0.73273   0.60095
  2.08842 -36.64439   0.06562   0.73749   0.60101
  2.10642 -35.38835   0.06335   0.74216   0.60107
  2.12442 -30.92371   0.08386   0.74676   0.60113
  2.14243 -18.97823   0.19873   0.75128   0.60119
  2.16043 -26.74795   0.20066   0.75572   0.60125
  2.17844 -35.08662   0.09442   0.76008   0.60131
  2.19644 -36.65108   0.06362   0.76434   0.60137
  2.21444 -35.07465   0.06434   0.76854   0.60143
  2.23245 -30.04990   0.08884   0.77267   0.60149
  2.25045 -18.31263   0.22050   0.77673   0.60155
  2.26845 -28.06998   0.18510   0.78071   0.60161
  2.28646 -35.52631   0.08821   0.78462   0.60167
  2.30446 -36.68689   0.06234   0.78845   0.60173
  2.32246 -34.96988   0.06458   0.79221   0.60179
  2.34047 -29.76175   0.09057   0.79592   0.60185
