Cell1,Cell2,Cell3
7007.73638968481,7044.77647058824,7101.52070263488
7053.85100286533,7080.39728506787,7144.23212045169
7042.78510028653,7040.97737556561,7100.49811794228
7092.69914040115,7069.41809954751,7138.47929736512
7085.02005730659,7113.5556561086,7158.91844416562
7136.35816618911,7159.30769230769,7218.29611041405
7050.21203438395,7058.49140271493,7123.78670012547
7176.62750716332,7183.88959276018,7240.91844416562
7083.95988538682,7099.76742081448,7179.05144291092
7120.02865329513,7127.49502262443,7203.65370138018
7040.37535816619,7052.41176470588,7091.6486825596
7079.51862464183,7112.42443438914,7167.5834378921
7143.51575931232,7143.9185520362,7197.94228356336
7114.65902578797,7107.32036199095,7168.57716436637
7163.19770773639,7140.72036199095,7211.36637390213
7119.77077363897,7122.32669683258,7176.82057716437
7063.44699140401,7098.70497737557,7169.81806775408
7087.65329512894,7126.26787330317,7175.67628607277
7043.60458452722,7089.64253393665,7145.96486825596
7070.7106017192,7120.69592760181,7161.10790464241
7045.37249283668,7094.07330316742,7124.76662484316
7131.21489971347,7183.38190045249,7235.84943538269
7111.18911174785,7124.992760181,7195.17063989962
7107.52722063037,7156.31764705882,7236.84818067754
7063.56160458453,7060.85158371041,7122.05144291092
7078.95128939828,7136.76108597285,7179.59598494354
7037.28653295129,7124.39095022624,7177.9661229611
7066.90830945559,7145.73755656109,7203.0225846926
7066.21203438395,7145.45158371041,7205.30614805521
7040.43266475645,7091.09049773756,7162.86825595985
7077.96561604585,7170.192760181,7204.9774153074
7093.16045845272,7131.94660633484,7184.75407779172
7082.47277936963,7092.14841628959,7119.68632371393
7044.13180515759,7080.62895927602,7153.23337515684
7068.22636103152,7080.69864253394,7114.02509410289
7024.6217765043,7092.95294117647,7145.44165621079
7115.39828080229,7137.34660633484,7174.59096612296
7013.92550143266,7057.39004524887,7130.54705144291
7024.83954154728,7081.50678733032,7117.42158092848
7065.02005730659,7084.81538461538,7161.54203262233
7030.54727793696,7076.26425339367,7136.1982434128
7019.09169054441,7091.98642533937,7123.82183186951
7057.69914040115,7145.13393665158,7186.4278544542
7026.28080229226,7080.36108597285,7147.04391468005
7033.53581661891,7084.1185520362,7121.86072772898
7049.87392550143,7103.55656108597,7180.14805520703
7022.30372492837,7077.34660633484,7128.29611041405
7073.62750716332,7112.91674208145,7161.06775407779
7067.31232091691,7111.79185520362,7146.49560853199
7039.17478510029,7073.78009049774,7153.90464240903
7042.24641833811,7108.207239819,7190.1982434128
7090.96848137536,7122.31131221719,7187.10288582183
7071.85959885387,7148.10678733032,7226
7089.74498567335,7202.79095022624,7243.71016311167
7096.59312320917,7160.20452488688,7215.65119196989
7067.9340974212,7153.14751131222,7204.37641154329
7114.5329512894,7138.2036199095,7173.65495608532
7052.11747851003,7102.6742081448,7168.29234629862
7059.07736389685,7084.63167420814,7129.15056461731
7099.26074498567,7173.02986425339,7236.93099121706
7067.23782234957,7122.78280542986,7176.75282308657
7057.59598853868,7133.4334841629,7198.27352572146
7082.32951289398,7116.26787330317,7188.37139272271
7065.25501432665,7123.45067873303,7180.09535759097
7115.14899713467,7156.82533936652,7235.29109159348
7098.8223495702,7153.01628959276,7219.44416562108
7095.59598853868,7155.89321266968,7227.0112923463
7090.68481375358,7181.72760180995,7243.45294855709
7105.41260744986,7143.40180995475,7208.49058971142
7155.98853868195,7185.33393665158,7254.10163111669
7135.15759312321,7162.62986425339,7202.36135508156
7093.10315186246,7170.54389140271,7229.45671267252
7141.71346704871,7197.60904977376,7260.28732747804
7141.60171919771,7182.69954751131,7245.53952321205
7150.67048710602,7189.49049773756,7254.66373902133
7160.04871060172,7208.13846153846,7270.59849435383
7169.88538681948,7243.66244343891,7314.13801756587
7147.52435530086,7183.64796380091,7239.64115432873
7157.95702005731,7190.45520361991,7267.31744040151
7112.28366762178,7200.60904977376,7268.37641154329
7156.21203438395,7228.78009049774,7293.34629861982
7155.9770773639,7221.29502262443,7277.60225846926
7137.11747851003,7188.85067873303,7279.90213299875
7163.86819484241,7230.69411764706,7299.17816813049
7154.67048710602,7211.88868778281,7286.81932245922
7209.93123209169,7229.57013574661,7315.04767879548
7191.59025787966,7237.89773755656,7305.80803011292
7180.74498567335,7198.60542986425,7252.26850690088
7225.61031518625,7229.36108597285,7292.2634880803
7204.71346704871,7217.8742081448,7272.46549560853
7126.36103151862,7146.35837104072,7205.06649937265
7117.30085959885,7152.12126696833,7199.55959849435
7110.43839541547,7148.49049773756,7224.22208281054
7142.91404011461,7172.62714932127,7241.48180677541
7198.63323782235,7253.47511312217,7315.28356336261
7174.14899713467,7225.57013574661,7268.21831869511
7154.78796561605,7216.46606334842,7273.96110414053
7134.53581661891,7227.18371040724,7299.15683814304
7148.27793696275,7240.96832579186,7293.01380175659
7222.21203438395,7265.15837104072,7341.94479297365
7142.25787965616,7196.38099547511,7274.67628607277
7212.25501432665,7279.39366515837,7370.26976160602
7170.96848137536,7207.62352941177,7272.08155583438
7184.64183381089,7230.91764705882,7284.59849435383
7154.29512893983,7234.02171945701,7305.28983688833
7214.11461318052,7275.0443438914,7329.81932245922
7195.38108882521,7242.29230769231,7314.78042659975
7232.53581661891,7297.75746606335,7367.4730238394
7192.25214899714,7231.89049773756,7308.01254705144
7169.77363896848,7204.02714932127,7299.9121706399
7185.45558739255,7239.807239819,7339.58469259724
7177.98280802292,7254.70950226244,7322.10037641154
7162.54154727794,7218.09954751131,7320.17314930991
7225.3782234957,7236.46696832579,7292.42283563363
7124.52148997135,7189.50950226244,7251.58092848181
7144.08022922636,7231.19819004525,7303.74654956085
7111.80802292264,7172.88325791855,7272.6712672522
7176.67621776504,7213.86515837104,7296.4730238394
7139.4212034384,7204.1592760181,7264.61731493099
7184.07736389685,7249.13393665158,7303.4730238394
7218.60744985673,7276.40271493213,7339.93977415307
7140.10315186246,7209.41900452489,7288.39021329987
7158.38395415473,7243.68235294118,7282.70639899624
7129.86819484241,7227.3149321267,7294.51693851945
7183.08309455587,7257.3257918552,7326.34629861982
7146.25787965616,7208.40995475113,7269.67754077792
7164.98567335244,7265.69954751131,7340.30112923463
7134.61031518625,7210.32941176471,7266.7365119197
7170.13467048711,7256.4,7328.42659974906
7206.38968481375,7264.95746606335,7327.87076537014
7169.78796561605,7252.67330316742,7294.04391468005
7197.79369627507,7289.40814479638,7337.07528230866
7133.33810888252,7255.31674208145,7302.79673776662
7122.31805157593,7236.13122171946,7291.33249686324
7145.06303724928,7192.67601809955,7236.373902133
7163.70200573066,7203.78190045249,7265.31116687578
7115.05444126075,7203.56199095023,7248.56712672522
7180.70487106017,7246.02895927602,7319.12672521957
7209.36962750716,7251.90859728507,7310.27603513174
7179.71633237822,7250.74479638009,7305.27728983689
7185.04871060172,7230.28868778281,7295.03011292346
7200.36962750716,7270.74208144796,7337.51191969887
7252.60458452722,7276.95656108597,7329.67628607277
7207.40687679083,7273.81176470588,7328.96361355082
7198.65042979943,7279.97556561086,7344.50313676286
7233.76217765043,7307.2036199095,7359.7139272271
7186.4670487106,7257.23891402715,7315.10664993726
7237.48137535817,7306.80090497738,7361.61229611041
7211.80802292264,7277.90950226244,7328.54454203262
7194.56446991404,7254.34751131222,7321.41530740276
7247.61604584527,7315.92307692308,7366.17816813049
7159.90257879656,7245.08778280543,7332.86323713927
7208.65329512894,7274.33303167421,7330.04767879548
7215.57306590258,7267.86153846154,7359.74905897114
7214.41833810888,7287.67058823529,7325.55332496863
7202.04011461318,7285.0407239819,7354.44667503137
7228.06017191977,7314.70045248869,7392.55457967378
7165.34383954155,7265.40452488688,7327.10163111669
7228.80515759312,7295.08778280543,7351.58218318695
7128.01719197708,7265.58009049774,7298.90589711418
7191.32664756447,7288.70226244344,7333.99121706399
7198.10315186246,7327.62533936652,7351.75282308657
7161.92263610315,7250.79366515837,7293.89711417817
7223.97134670487,7315.61628959276,7380.74153074028
7253.36676217765,7324.26153846154,7378.01756587202
7250.61604584527,7302.05158371041,7369.78419071518
7223.13180515759,7333.65701357466,7417.40777917189
