Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22
6738.63768115942,7509.26808510638,9634.69683257919,6764.10872313527,6830.109375,6890.14767932489,6794.32653061224,7456.28484848485,6921.2030237581,6964.07451923077,16983.1984732824,11133.25,8165.15234375,6881.24350649351,6774.74809160305,9097.49473684211,7915.0074906367,6515.60839160839,6430.17708333333,6398.61194029851,6524.2183908046,6872.77195945946
11060.6304347826,8040.2085106383,8128.61990950226,6758.91276864728,6816.02604166667,6871.79324894515,6767.46598639456,6798.00909090909,6891.08207343413,6916.05288461538,16417.3015267176,10963.6270491803,8469.13671875,6887.58766233766,6760.62748091603,8767.31052631579,7780.5468164794,6499.79020979021,6951.14583333333,6397.07462686567,6513.28352490421,6786.26013513513
16154.2420289855,7972.87234042553,8422.23755656109,6784.81921618205,6851.3125,6876.72573839662,6763.47619047619,6813.72121212121,6890.55291576674,6930.62019230769,17172.6488549618,11243.0901639344,9139.12890625,6867.23376623377,6783.37557251908,8962.64736842105,7710.69288389513,6504.85314685315,9488.25,6538.62686567164,6512.42528735632,6575.13851351351
16118.7927536232,7308.54893617021,7111.35520361991,6745.30973451327,6807.859375,6910.34599156118,6781.48639455782,6779.54545454545,6909.40388768898,6960.36057692308,15375.9198473282,11454.2295081967,9360.3125,6867.43181818182,7979.32366412214,8973.38684210526,7013.09737827715,6496.30769230769,10054.703125,6413.0223880597,6523.67049808429,6581.22128378378
16378.7623188406,9327.28510638298,6735.81221719457,6754.07458912769,6825.0390625,6861.33333333333,6740.53741496599,6792.39393939394,6870.56587473002,6913.81971153846,16602.3396946565,11095.2540983607,9124.3137254902,6852.97727272727,6783.80152671756,8474.4552631579,7354.1797752809,6510.2027972028,7866.03125,6384.28358208955,6511.7969348659,6581.25506756757
15920.1797101449,8213.4,6748.11312217195,6759.97977243995,6830.11979166667,6874.10126582278,6749.95238095238,6777.69393939394,6877.96976241901,6929.47596153846,15826.2748091603,11680.2991803279,9414.28346456693,6856.79545454545,6789.27480916031,8251.58684210526,6950.35205992509,6536.11188811189,6452.84895833333,6460.5447761194,6541.49042145594,6599.125
15865.0782608696,9042.89787234043,6719.85746606335,6747.30467762326,7346.8359375,6878.95780590717,6752.6768707483,6759.78181818182,6888.60475161987,6930.74038461538,16505.1908396947,11919.4221311475,9497.09765625,6891.03896103896,10442.093129771,8539.39736842105,6600.42696629214,6498.46153846154,6417.5,6408.24626865672,6552.12260536398,6577.95777027027
15552.6188405797,8119.56595744681,6746.47963800905,6754.93299620733,8041.15885416667,6881.86075949367,6743.08503401361,6785.31212121212,6870.60475161987,6917.63221153846,16909.320610687,12147.8442622951,9178.5703125,6844.1461038961,6767.3572519084,6683.40526315789,6567.59925093633,6497.88111888112,6408.02604166667,7114.10447761194,6570.37931034483,6929.94256756757
12698.8391304348,8322.10638297872,6743.88235294118,6770.13147914033,8968.66145833333,6892.12658227848,6766.69387755102,8407.24242424242,6900.74298056155,6929.53846153846,14506.6183206107,11959.9262295082,7815.01953125,6861.4512987013,11366.7099236641,8131.58947368421,6578.58052434457,6473.07692307692,6397.390625,8365.23134328358,6541.92720306513,6821.72466216216
9783.9652173913,7096.47234042553,6706.60633484163,6744.81415929204,7690.15625,6902.67088607595,6779.08503401361,9095.07272727273,6913.48596112311,6944.61778846154,11635.606870229,12075.7459016393,6840.4375,6860.58766233766,12612.3099236641,7822.86578947368,6547.96629213483,6505.61538461538,6430.00520833333,6693.58955223881,8330.27969348659,6613.89527027027
8161.25652173913,9297.08085106383,6724.51583710407,6777.70543615676,6863.703125,6888.43037974684,6735.01700680272,10477.7909090909,6883.40388768898,6931.74519230769,12957.7977099237,11625.7090163934,7711.92578125,6870.90584415584,12061.1221374046,8461.35,6553.62546816479,6480.34265734266,6407.01041666667,7270.17164179104,6575.5632183908,6624.57432432432
7944.04782608696,8188.81276595745,8210.19004524887,6780.06321112516,6874.68489583333,6919.43037974684,6761.41836734694,9580.68181818182,6909.53563714903,6934.63221153846,11239.1488549618,11686.0409836066,6861.9453125,6881.25649350649,11250.5282442748,7381.41578947368,6576.48314606742,6504.35664335664,6417.72395833333,6398.07462686567,6588.7816091954,6630.95439189189
7357.5768115942,8331.47234042553,9447.59728506787,6783.65360303413,6882.14322916667,6919.64135021097,6776.84693877551,6990.95454545455,6924.33045356372,6944.83653846154,9062.08396946565,11720.1680327869,6852.22265625,6861.97402597403,6770.5358778626,6654.51315789474,6545.39700374532,6490.40559440559,6573.75520833333,6390.5,6607.5632183908,6630.83277027027
7132.03043478261,7902.25106382979,9629.68099547511,6796.71302149178,6900.69270833333,6934.0970464135,6775.69047619048,8892.90606060606,6916.13390928726,6974.6875,9591.6679389313,11649.737704918,6882.44921875,6855.03246753247,6794.11603053435,6689.47105263158,6580.36329588015,6476.8041958042,7724.98958333333,7156.41044776119,6579.95019157088,6635.36824324324
6752.0884057971,8767.82553191489,8582.25791855204,6829.07079646018,6931.28645833333,6946.95358649789,6809.09183673469,6825.92727272727,6951.53347732181,6978.21634615385,8696.59541984733,10824.3073770492,6850.8671875,6852.17857142857,6788.10381679389,6701.20789473684,6577.67041198502,6525.03496503497,10179.0260416667,7134.08208955224,6612.64367816092,6649.93581081081
6773.55217391304,10515.3276595745,8344.80995475113,6786.79266750948,6896.05729166667,6987.45991561181,6821.24149659864,6841.54242424242,6971.50539956803,7002.07932692308,10322.1450381679,10947.0491803279,6871.76953125,6873.65584415584,6792.0213740458,6687.10789473684,6590.73033707865,6531.97902097902,7435.15625,7357.64925373134,6610.01915708812,6654.83783783784
6752.54927536232,9912.69361702128,7867.14027149321,6811.40455120101,6906.50260416667,6937.05907172996,6797.28571428571,6805.26666666667,6936.7969762419,6989.49519230769,11233.1374045802,10873.8073770492,6995.69921875,6891.57792207792,6781.30229007634,6672.67631578947,6560.73782771536,6537.94405594406,6452.63541666667,8552.79104477612,6596.6091954023,6634.05236486487
6706.4652173913,10809.7063829787,7739.61312217195,6789.90644753477,6898.14322916667,6974.16877637131,6778.58843537415,6812.47272727273,6928.22678185745,6933.23076923077,10104.0801526718,10577.7745901639,6841.01171875,6857.78571428571,6777.72824427481,6687.08684210526,6569.40074906367,6527.04895104895,6443.08333333333,8848.65671641791,6588.19923371647,6622.7179054054
14679.9463768116,10871.9489361702,6752.31674208145,6802.46144121365,6900.1171875,6937.3417721519,6770.7619047619,6822.87575757576,6921.65010799136,6947.86778846154,9945.93511450382,10290.8073770492,6900.51953125,6859.39285714286,6813.01984732824,6719.52368421053,6611.33707865169,6508.79020979021,6419.234375,8161.19402985075,6590.94636015326,6661.27364864865
15317.6927536232,12347.1106382979,6748.66063348416,6787.50063211125,6884.34375,6952.06329113924,6791.33673469388,6806.19090909091,6934.13822894168,6992.32211538462,12317.8129770992,10684.2786885246,7140.2734375,6924,9312.01526717557,8075.68157894737,6597.43071161049,6568.05594405594,6475.125,10329.2089552239,6609.10727969349,6633.8125
15085.6144927536,11647.7957446809,6764.73076923077,6816.50948166877,6913.51302083333,6921.42194092827,6790.39795918367,6816.9303030303,6926.03887688985,6951.39182692308,11056.0419847328,10784.5737704918,6847.7421875,7113.94805194805,6801.12366412214,7512.33421052632,6601.21348314607,6538.6993006993,6443.20833333333,9321.35074626866,6605.87356321839,6630.2347972973
13595.7289855072,10103.2468085106,6738.4185520362,6802.11504424779,6895.9921875,6984.62025316456,6802.3231292517,6809.45151515152,6947.33045356372,6968.20192307692,9079.0572519084,10544.5819672131,6881.8671875,7812.62987012987,6804.24122137405,6712.53947368421,6601.76779026217,6529.75524475524,6451.36458333333,9710.41791044776,6599.51340996169,6629.1097972973
10779.5623188406,8128.24680851064,6762.12669683258,6812.70796460177,6916.00520833333,6957.14345991561,6782.4693877551,8858.6,6927.70626349892,6948.13701923077,11603.8358778626,10684.631147541,6886.8203125,8467.66558441558,6792.28244274809,6875.33947368421,6601.56554307116,6539.32167832168,6460.80729166667,12826.947761194,6587.51724137931,6603.8902027027
