Cell,DutyCycle,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,NumOscillations
Beta_Cell1,0.4270833333333333,4876.8106821329675,1.5124116439015627,10995.57673130195,2.155316848606465,5
Beta_Cell2,0.5208333333333334,5217.4894957983215,1.7995575836637567,11661.26330532211,2.7870379074799745,0
Beta_Cell3,0.0,2694.9290510994965,1.235294460376393,5906.9220389806,1.5157338123912079,12
Beta_Cell4,0.5208333333333334,7874.1821810557185,1.8127494341252874,15080.150507848612,2.5565278412360626,1
Beta_Cell5,0.3958333333333333,997.9762520275754,1.1558689328757228,4827.615571776169,1.7540011958983786,6
Beta_Cell6,0.5,4439.333712632052,1.6923516723346654,10243.055293324313,2.597491182510101,4
Beta_Cell7,0.4791666666666667,3252.5295204402532,1.4576338054423463,6740.524528301889,1.9483978150478816,15
Beta_Cell8,0.0,49.40873980612796,1.007465584095897,96.54925373135029,1.01458844277259,26
Beta_Cell9,0.0,1419.7202876630538,1.2101948668013855,3375.06913996631,1.4996915339488726,2
Beta_Cell10,0.3854166666666667,6323.683396464648,1.9535838683955196,24122.46296296292,4.637562177813946,1
Beta_Cell11,0.4791666666666667,1093.2946543927637,1.166239919049862,6917.93540051678,2.0519003421020447,16
Beta_Cell12,0.0,278.58608469203324,1.0420925668066259,2047.6065217391306,1.3093801846034996,10
Beta_Cell13,0.4895833333333333,4321.0891612122905,1.604009553870165,8812.18668184401,2.2317831795972314,2
Beta_Cell14,0.0,3134.055607622615,1.419738362213763,5930.459478505949,1.7942556419959075,0
Delta_Cell1,0.0,1863.3122517392562,1.2951422009395581,4286.041202672641,1.6788940676441442,1
Delta_Cell2,0.0,1977.1708515168737,1.312314355190124,4402.06543967283,1.695351253151133,15
Delta_Cell3,0.0,1833.7037463706222,1.1665812454356037,3888.5416191562,1.3532512310831573,7
Delta_Cell4,0.0,50.5002375885763,1.007900124164463,118.64328657313945,1.0185602432773462,29
Delta_Cell5,0.0,50.91519339036172,1.0080026627095848,108.16312056737024,1.0170006812088568,24
Delta_Cell6,0.0,4356.093040742426,1.4961403829818807,8071.68234165063,1.9193301269828003,0
Delta_Cell7,0.4845360824742268,3080.0492369536732,1.4735507428272283,6097.954163976739,1.937546935754069,0
Delta_Cell8,0.4948453608247423,4127.706165817413,1.390718948131724,8649.010536398398,1.8186949757099693,1
Delta_Cell9,0.4020618556701031,871.9362897507206,1.1348717040433745,3450.3703703703704,1.5337056582031503,6
